Product Name,Material Type,Carbon Footprint (kg CO₂),Energy Consumption (kWh),Brand Policy (Eco-Certified),Number of Certifications,Sustainability Score
Product_1262,4,30.602431451814866,65.605348421897,1,2,87.44834672858025
Product_293,3,74.26148894991707,198.38772645642592,0,0,23.19171023375628
Product_1468,2,78.17339597421945,99.5924080894555,1,3,69.70045019560487
Product_792,3,63.97208464557751,176.80471873786377,1,2,62.65301392963848
Product_1323,2,42.771670829097175,78.63880559513053,1,3,85.23409437054642
Product_688,1,21.847006571867244,59.241919897351245,1,4,100.0
Product_384,2,40.07067011987325,132.9153719753031,1,3,88.38159054500275
Product_505,1,25.596907903022878,79.13572246723407,1,4,100.0
Product_974,2,30.80151397702935,113.71064445620736,0,0,61.85711412024386
Product_646,3,40.21253902673384,207.71866762233088,1,5,83.3499969621669
Product_601,1,25.597019777867,57.571615718498165,1,5,100.0
Product_88,1,25.77194422449061,91.54745855275344,1,4,100.0
Product_282,3,58.468645752524765,211.62907483541449,0,1,33.439862156654726
Product_37,3,40.70209453466516,215.65627023996524,0,0,36.51769868467437
Product_420,2,48.93429961702435,102.63719760811088,1,3,90.00541066986565
Product_684,1,27.46846476163321,80.25447592702692,0,2,80.21487243377801
Product_551,1,18.64669602085204,94.89676467218683,0,0,71.69729905513661
Product_1066,4,56.567341402301174,94.56653118970863,0,0,73.57314446033878
Product_71,3,47.8333233653708,233.2391041701908,0,1,34.43551748327644
Product_100,1,26.929045834690363,95.12065166430516,0,1,72.51134674979379
Product_1339,3,40.13621761008835,51.42711063664872,1,0,78.23825724097176
Product_639,2,35.22235816153427,116.79081823207672,0,1,64.03065727281752
Product_486,2,30.438242347465,137.8225543994456,1,5,100.0
Product_263,3,68.37283313890438,188.93897796668733,0,2,38.02578783721034
Product_1476,1,50.1313866846873,57.496511819948964,0,3,85.82953788736711
Product_1488,4,80.35038981168317,218.9252402455506,0,1,43.0385775290783
Product_1397,1,33.58154609771201,77.0802417849432,0,5,96.68442259805931
Product_333,1,26.131222957229,57.462473487073694,0,2,85.44189382397076
Product_804,2,46.09907478943055,120.45912937292442,0,0,52.85863673069984
Product_1413,4,108.12064876908249,317.4782662921905,0,4,30.536032986992552
Product_1281,4,19.448831125283018,221.59115834034546,0,3,71.95423535509912
Product_296,2,30.86706324956865,135.7562509908444,1,2,87.4152181770468
Product_978,2,33.73098815477882,129.03779995278296,1,4,97.326945932054
Product_755,2,23.484168806015767,149.16703842071132,0,1,63.424507912849855
Product_1182,3,50.10949015524535,56.13168500420684,0,5,100.0
Product_929,2,38.88673090675209,113.40716148059605,0,2,67.87520225050474
Product_725,1,18.61775047323612,64.83062410785466,1,5,100.0
Product_871,3,45.87687694335083,246.732811135347,1,5,72.71499930125519
Product_520,3,76.55153775493037,214.28065910861736,0,0,18.868099300811338
Product_522,1,22.41831035534954,86.51245947647857,1,3,100.0
Product_762,1,23.337285150922085,96.12171418280622,0,2,79.10701458797772
Product_364,2,30.485191162604565,118.98687024108244,0,2,70.96003037048123
Product_947,1,21.1556683474005,65.12331587307348,0,2,86.39750265168504
Product_379,1,27.49403345368399,96.72165193767208,1,2,96.9086528856236
Product_1367,3,56.72058985581202,113.63535746909979,1,0,63.10248993010082
Product_96,1,27.53531273523499,71.69219614276221,1,4,100.0
Product_1271,1,82.49125900091695,98.94202627619961,0,1,60.28675540824912
Product_859,2,40.30463896572186,127.27139751058566,0,0,54.39340101502194
Product_622,2,35.497178853379374,101.09233559931008,0,2,72.0329434534483
Product_1246,3,218.62930433539287,253.8788199545336,1,2,0.0
Product_238,2,24.46664150997334,127.33386324486558,1,5,100.0
Product_787,1,14.313503047954343,70.79092840092055,0,0,78.68506279583872
Product_202,2,45.221090840336,111.8741652584692,1,5,100.0
Product_152,1,17.963373871818867,66.4089741398806,0,0,77.73651823611445
Product_1335,4,73.74843092708804,112.65768916669853,1,0,57.28939580051441
Product_1446,1,39.67228411790161,115.64715092274685,1,4,84.76762792032241
Product_1313,1,17.389693030768015,62.385450478003264,0,4,100.0
Product_500,3,50.40946391940918,212.5841194982376,0,2,42.27844414064789
Product_102,3,58.38659481610645,221.93881555748203,1,5,71.41893948045036
Product_652,1,14.384279747160884,74.06389756096185,1,2,100.0
Product_1371,1,97.14085847784469,307.0903674714642,1,0,19.937144412034726
